Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
Итого,,,987052,6247,288676.55,207,3.31,1394.57
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,01.05.2026,9,1,33.27,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,01.05.2026,6959,61,3630.39,3,4.92,1210.13
10. Форма | РСЯ,115971938,01.05.2026,18151,73,3717.56,1,1.37,3717.56
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,01.05.2026,26,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,01.05.2026,47,1,177.84,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,01.05.2026,81,9,490.33,1,11.11,490.33
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,01.05.2026,498,4,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,01.05.2026,68,3,223.91,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,01.05.2026,105,8,1078.05,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,01.05.2026,372,4,1464.00,1,25.00,1464.00
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,02.05.2026,55,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,02.05.2026,5511,46,2802.13,4,8.70,700.53
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,02.05.2026,21,3,196.31,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,02.05.2026,17,3,526.54,0,0.00,-
10. Форма | РСЯ,115971938,02.05.2026,14104,58,3108.04,1,1.72,3108.04
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,02.05.2026,19,2,13.98,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,02.05.2026,45,9,1644.73,1,11.11,1644.73
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,02.05.2026,51,7,405.44,1,14.29,405.44
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,02.05.2026,80,8,1047.39,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,02.05.2026,319,2,0.00,0,0.00,-
10. Форма | РСЯ,115971938,03.05.2026,6,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,03.05.2026,1,0,0.00,0,-,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,04.05.2026,90,12,1627.12,1,8.33,1627.12
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,04.05.2026,140,17,2059.75,1,5.88,2059.75
10. Форма | РСЯ,115971938,04.05.2026,24075,83,4890.48,4,4.82,1222.62
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,04.05.2026,10097,55,2573.53,6,10.91,428.92
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,04.05.2026,30,6,275.82,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,04.05.2026,17,3,202.88,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,04.05.2026,118,9,511.28,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,04.05.2026,1476,6,0.00,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,04.05.2026,641,3,0.00,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,04.05.2026,52,7,223.56,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,05.05.2026,30,6,357.62,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,05.05.2026,33,9,832.76,2,22.22,416.38
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,05.05.2026,15466,67,3296.02,2,2.99,1648.01
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,05.05.2026,130,4,200.90,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,05.05.2026,131,11,1907.26,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,05.05.2026,91,5,0.00,0,0.00,-
10. Форма | РСЯ,115971938,05.05.2026,25695,91,5178.37,4,4.40,1294.59
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,05.05.2026,716,3,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,05.05.2026,58,2,113.16,1,50.00,113.16
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,05.05.2026,71,14,555.37,2,14.29,277.68
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,06.05.2026,18,3,321.77,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,06.05.2026,85,10,1473.79,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,06.05.2026,18,1,0.00,0,0.00,-
10. Форма | РСЯ,115971938,06.05.2026,17794,50,2966.96,1,2.00,2966.96
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,06.05.2026,19,1,75.56,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,06.05.2026,75,7,436.92,1,14.29,436.92
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,06.05.2026,37,6,461.70,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,06.05.2026,1495,8,2196.00,1,12.50,2196.00
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,06.05.2026,11031,43,2564.38,2,4.65,1282.19
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,06.05.2026,52,2,85.07,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,07.05.2026,65,3,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,07.05.2026,22,3,216.11,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,07.05.2026,51,3,817.42,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,07.05.2026,28,6,228.22,0,0.00,-
