Название кампании,№ Кампании,День,Показы,Клики,"Расход, ₽",Конверсии,"CR, %","CPA, ₽"
10. Форма | РСЯ,115971938,07.05.2026,11901,38,2258.21,1,2.63,2258.21
51. na-corporate.ru | корпоративная одежда | рся,115971965,07.05.2026,17302,216,4768.93,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,07.05.2026,29,3,469.49,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,07.05.2026,6,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,07.05.2026,13544,73,3019.18,2,2.74,1509.59
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,07.05.2026,2509,8,0.00,1,12.50,0.00
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,07.05.2026,7,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,08.05.2026,35,1,0.00,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,08.05.2026,9,0,0.00,0,-,-
10. Форма | РСЯ,115971938,08.05.2026,9702,29,2216.65,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,08.05.2026,29,0,0.00,0,-,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,08.05.2026,65184,622,4164.34,1,0.16,4164.34
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,08.05.2026,2797,9,0.00,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,08.05.2026,14,2,66.73,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,08.05.2026,17,2,133.62,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,08.05.2026,11559,53,2975.08,4,7.55,743.77
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,08.05.2026,49,4,455.18,1,25.00,455.18
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,08.05.2026,72,3,954.33,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,09.05.2026,400,2,0.00,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,09.05.2026,37,1,90.98,1,100.00,90.98
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,09.05.2026,37,3,0.00,0,0.00,-
10. Форма | РСЯ,115971938,09.05.2026,10576,37,1897.46,1,2.70,1897.46
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,09.05.2026,43,0,0.00,0,-,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,09.05.2026,28,4,396.09,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,09.05.2026,52,1,96.55,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,09.05.2026,8894,44,2196.47,2,4.55,1098.23
51. na-corporate.ru | корпоративная одежда | рся,115971965,09.05.2026,32320,278,4090.53,1,0.36,4090.53
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,09.05.2026,45,1,20.14,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,09.05.2026,30,5,684.42,1,20.00,684.42
51. na-corporate.ru | корпоративная одежда | рся,115971965,10.05.2026,24,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,10.05.2026,670,2,0.68,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,10.05.2026,2,0,0.00,0,-,-
10. Форма | РСЯ,115971938,10.05.2026,4,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,11.05.2026,93,7,1642.53,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,11.05.2026,10,3,244.37,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,11.05.2026,55,2,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,11.05.2026,8355,70,4089.94,3,4.29,1363.31
10. Форма | РСЯ,115971938,11.05.2026,12640,47,2592.68,1,2.13,2592.68
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,11.05.2026,50,4,274.37,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,11.05.2026,9059,118,1478.86,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,11.05.2026,16,3,258.01,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,11.05.2026,49,5,468.20,1,20.00,468.20
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,11.05.2026,769,10,0.00,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,11.05.2026,47,8,656.03,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,12.05.2026,20,3,311.52,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,12.05.2026,43,6,1586.27,1,16.67,1586.27
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,12.05.2026,1046,2,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,12.05.2026,55,7,814.68,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,12.05.2026,9,2,314.87,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,12.05.2026,31,7,1137.84,2,28.57,568.92
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,12.05.2026,35,5,229.89,1,20.00,229.89
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,12.05.2026,51,3,0.00,0,0.00,-
10. Форма | РСЯ,115971938,12.05.2026,8881,35,1723.07,1,2.86,1723.07
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,12.05.2026,16177,70,2611.52,1,1.43,2611.52
51. na-corporate.ru | корпоративная одежда | рся,115971965,12.05.2026,26011,241,3835.67,2,0.83,1917.83
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,13.05.2026,26,4,400.54,0,0.00,-
10. Форма | РСЯ,115971938,13.05.2026,32410,87,5223.39,3,3.45,1741.13
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,13.05.2026,11223,43,1776.32,2,4.65,888.16
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,13.05.2026,83,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,13.05.2026,31341,153,2926.01,4,2.61,731.50
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,13.05.2026,183,2,0.00,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,13.05.2026,81,13,766.39,2,15.38,383.19
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,13.05.2026,19,2,150.91,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,13.05.2026,44,3,438.67,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,13.05.2026,26,2,207.71,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,13.05.2026,68,5,487.03,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,14.05.2026,7099,30,421.43,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,14.05.2026,1,1,198.14,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,14.05.2026,4,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,14.05.2026,1,0,0.00,0,-,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,14.05.2026,21,1,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,14.05.2026,746,6,206.88,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,14.05.2026,1,0,0.00,0,-,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,14.05.2026,4,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,14.05.2026,2,0,0.00,0,-,-
10. Форма | РСЯ,115971938,14.05.2026,1732,4,309.46,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,15.05.2026,12,5,899.86,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,15.05.2026,3395,26,442.59,0,0.00,-
10. Форма | РСЯ,115971938,15.05.2026,40166,94,4936.93,5,5.32,987.39
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,15.05.2026,74,7,0.00,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,15.05.2026,238,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,15.05.2026,66,9,1315.16,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,15.05.2026,32,1,195.42,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,15.05.2026,62,3,222.53,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,15.05.2026,29703,68,3548.22,3,4.41,1182.74
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,15.05.2026,19,1,127.87,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,15.05.2026,16,3,522.22,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,16.05.2026,9,1,11.51,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,16.05.2026,36,1,133.08,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,16.05.2026,29,2,317.40,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,16.05.2026,59,2,140.55,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,16.05.2026,88,4,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,16.05.2026,8244,57,2969.87,2,3.51,1484.93
51. na-corporate.ru | корпоративная одежда | рся,115971965,16.05.2026,3432,64,1732.92,4,6.25,433.23
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,16.05.2026,60,1,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,16.05.2026,60,5,577.28,0,0.00,-
10. Форма | РСЯ,115971938,16.05.2026,27997,125,5867.66,2,1.60,2933.83
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,16.05.2026,80,6,663.76,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,17.05.2026,1857,20,1016.91,1,5.00,1016.91
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,17.05.2026,5,0,0.00,0,-,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,17.05.2026,16,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,17.05.2026,4,1,201.04,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,17.05.2026,6,1,67.55,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,17.05.2026,3,1,58.75,0,0.00,-
10. Форма | РСЯ,115971938,17.05.2026,7348,31,1985.13,1,3.23,1985.13
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,17.05.2026,9,1,31.21,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,17.05.2026,6,2,80.18,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,17.05.2026,32,1,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,17.05.2026,508,9,355.93,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,18.05.2026,144,5,0.00,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,18.05.2026,6978,43,2607.83,5,11.63,521.57
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,18.05.2026,33,4,589.28,0,0.00,-
10. Форма | РСЯ,115971938,18.05.2026,17561,71,4116.84,5,7.04,823.37
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,18.05.2026,65,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,18.05.2026,135,9,666.77,4,44.44,166.69
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,18.05.2026,154,13,1536.24,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,18.05.2026,333,6,191.08,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,18.05.2026,38,6,711.77,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,18.05.2026,56,8,461.16,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,18.05.2026,44,7,1548.96,2,28.57,774.48
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,19.05.2026,72,5,1110.81,1,20.00,1110.81
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,19.05.2026,149,7,1957.29,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,19.05.2026,19,2,363.34,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,19.05.2026,96,10,638.56,1,10.00,638.56
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,19.05.2026,155,1,0.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,19.05.2026,24,2,296.60,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,19.05.2026,56,3,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,19.05.2026,2713,16,608.15,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,19.05.2026,29,8,751.56,1,12.50,751.56
10. Форма | РСЯ,115971938,19.05.2026,13182,43,3151.30,3,6.98,1050.43
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,19.05.2026,7354,52,3628.77,9,17.31,403.20
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,20.05.2026,34,2,164.66,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,20.05.2026,67,4,0.00,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,20.05.2026,9,2,361.34,1,50.00,361.34
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,20.05.2026,7305,51,3002.02,3,5.88,1000.67
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,20.05.2026,52,8,1994.27,1,12.50,1994.27
10. Форма | РСЯ,115971938,20.05.2026,22403,77,4768.89,3,3.90,1589.63
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,20.05.2026,135,0,0.00,0,-,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,20.05.2026,67,6,307.98,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,20.05.2026,5066,45,1595.98,1,2.22,1595.98
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,20.05.2026,9,1,97.66,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,20.05.2026,28,2,108.80,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,21.05.2026,26,4,497.83,0,0.00,-
10. Форма | РСЯ,115971938,21.05.2026,20896,68,4307.68,1,1.47,4307.68
51. na-corporate.ru | корпоративная одежда | рся,115971965,21.05.2026,4439,41,947.56,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,21.05.2026,6350,46,2581.76,3,6.52,860.59
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,21.05.2026,14,3,502.86,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,21.05.2026,14,3,405.55,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,21.05.2026,100,14,1086.14,1,7.14,1086.14
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,21.05.2026,41,0,0.00,0,-,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,21.05.2026,16,3,410.67,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,21.05.2026,89,3,0.00,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,21.05.2026,26,8,1751.30,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,22.05.2026,11,2,69.76,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,22.05.2026,70,5,874.43,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,22.05.2026,15,1,44.36,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,22.05.2026,11,2,429.96,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,22.05.2026,17,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,22.05.2026,66,4,0.00,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,22.05.2026,54,4,195.40,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,22.05.2026,24,3,555.98,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,22.05.2026,6900,36,1883.53,5,13.89,376.71
51. na-corporate.ru | корпоративная одежда | рся,115971965,22.05.2026,3894,28,736.48,0,0.00,-
10. Форма | РСЯ,115971938,22.05.2026,11139,54,2991.97,0,0.00,-
10. Форма | РСЯ,115971938,23.05.2026,13096,64,3322.84,1,1.56,3322.84
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,23.05.2026,49,5,1360.61,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,23.05.2026,31,5,389.20,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,23.05.2026,5782,39,2107.04,2,5.13,1053.52
51. na-corporate.ru | корпоративная одежда | рся,115971965,23.05.2026,693,19,373.92,0,0.00,-
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,23.05.2026,59,3,177.04,1,33.33,177.04
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,23.05.2026,27,5,439.37,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,23.05.2026,10,2,283.88,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,23.05.2026,8,0,0.00,0,-,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,23.05.2026,73,1,0.00,0,0.00,-
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,23.05.2026,67,11,1019.37,0,0.00,-
10. Форма | РСЯ,115971938,24.05.2026,142,3,104.60,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,24.05.2026,1,0,0.00,0,-,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,24.05.2026,9,0,0.00,0,-,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,24.05.2026,76,1,64.52,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,24.05.2026,1,1,31.73,0,0.00,-
02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,115971950,25.05.2026,75,9,1852.77,1,11.11,1852.77
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,25.05.2026,156,14,866.73,1,7.14,866.73
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,25.05.2026,17,2,0.00,0,0.00,-
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,25.05.2026,39,3,397.89,0,0.00,-
04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,115971954,25.05.2026,33,3,101.76,0,0.00,-
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,25.05.2026,57,3,0.00,0,0.00,-
05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,115971959,25.05.2026,17,4,505.28,1,25.00,505.28
03. 2024. barssport-factory.ru | поиск | футбольная форма,115971951,25.05.2026,74,10,1329.63,1,10.00,1329.63
10. Форма | РСЯ,115971938,25.05.2026,19694,59,3707.86,2,3.39,1853.93
51. na-corporate.ru | корпоративная одежда | рся,115971965,25.05.2026,6108,75,1601.19,0,0.00,-
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,25.05.2026,7140,52,2150.75,3,5.77,716.92
01.  2024.  barssport-factory.ru | поиск | бренд,115971947,26.05.2026,105,7,426.09,0,0.00,-
12. Форма | РСЯ (Общая) Оплата за лиды,700663637,26.05.2026,18,1,0.00,0,0.00,-
10. Форма | РСЯ,115971938,26.05.2026,20770,77,4287.01,1,1.30,4287.01
13. Корпоративная одежда | РСЯ | Оплата за лиды,115971941,26.05.2026,51,5,0.00,0,0.00,-
51. na-corporate.ru | корпоративная одежда | рся,115971965,26.05.2026,7265,80,1839.60,1,1.25,1839.60
11. barssport-factory.ru | Мастер | Форма | Конкуренты,115973806,26.05.2026,9654,57,2637.94,6,10.53,439.66
06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,115971960,26.05.2026,18,2,74.98,0,0.00,-
