День,№ Кампании,Название кампании,"Расход, ₽",Клики,Конверсии,"CR, %","CPA, ₽"
25.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,3633.88,50,4,8.00,908.47
25.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,37.03,1,0,0.00,-
25.04.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,3570.61,294,0,0.00,-
25.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,0,0,-,-
25.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,224.42,4,1,25.00,224.42
25.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,573.83,3,0,0.00,-
25.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,0,0,-,-
26.04.2026,115971965,51. na-corporate.ru | корпоративная одежда | рся,1466.79,319,0,0.00,-
26.04.2026,115973806,11. barssport-factory.ru | Мастер | Форма | Конкуренты,7113.89,115,5,4.35,1422.78
26.04.2026,115971954,04. 2024. barssport-factory.ru | поиск | пошив хоккейной формы,104.69,1,0,0.00,-
26.04.2026,115971938,10. Форма | РСЯ,3484.41,68,4,5.88,871.10
26.04.2026,115971960,06. 2024. barssport-factory.ru | поиск | пошив волейбольной формы,159.64,2,0,0.00,-
26.04.2026,115971941,13. Корпоративная одежда | РСЯ | Оплата за лиды,0.00,0,0,-,-
26.04.2026,115971950,02. 2024. barssport-factory.ru | поиск | пошив спортивной формы,240.77,2,0,0.00,-
26.04.2026,700663637,12. Форма | РСЯ (Общая) Оплата за лиды,0.00,1,0,0.00,-
26.04.2026,115971951,03. 2024. barssport-factory.ru | поиск | футбольная форма,35.73,2,0,0.00,-
26.04.2026,115971959,05. 2024. barssport-factory.ru | поиск | пошив баскетбольной формы,0.00,0,0,-,-
26.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,55.53,3,0,0.00,-
27.04.2026,115971947,01.  2024.  barssport-factory.ru | поиск | бренд,687.45,6,1,16.67,687.45
